今はじめよう！,B_______ now!,begin
私は学校で働いています。,I w_______ at a school.,work
新しい会社,a new c_______,company
私の注文番号は600です。,My O_______ number is 600.,order
その会社の従業員,an e_______ of the company.,employee
情報を得る,get i_______,information
メールを受け取る,r_______ an e-mail,receive
そのイベントは3日間続きます。,The event will l_______ three days.,last
助けが必要です。,I n_______ some help.,need
旅行ガイドを読む,read a t_______ guide,travel
私は自分の仕事が好きです。,I like my j_______.,job
私は仕事を見つける必要がある。,I need to f_______ a job.,find
私の部署には30名います。,There are 30 people in my d_______.,department
確認させてください。,L_______ me check.,let
博物館を訪れる,v_______ a museum,visit
オンラインでも注文できます。,You can a_______ order online.,also
確かではありません。,I'm not s_______.,sure
その電車は午後8時に出発します。,The train will l_______ at 8 p.m.,leave
彼は営業マネージャーです。,He is a s_______ manager.,sales
私はここに引っ越してきたばかりです。,I've just m_______d here.,moved
彼らは昨日東京に到着しました。,They a_______d in Tokyo yesterday.,arrive
イベントを行う,h_______ an event,hold
私は水曜日に戻ります。,I'll r_______ on Wednesday.,return
お店のオープン,the o_______ of a store,opening
彼はもうすぐここに来るはずです。,He should be here s_______.,soon
ここに署名してください。,Please s_______ here.,sign
私はそのレストランを見つけることができました。,I was a_______ to find the restaurant.,able
数分時間があります。,I have a f______ minutes.,few
私はクレジットカードで支払います。,I'll p_______ with a credit card.,pay
彼は出張中です。,He is on a business t_______.,trip
なぜ車を売ったのですか。,Why did you s_______ your car?,sell
当社はいくつかの国にオフィスがあります。,We have offices in s_______ countries.,several
それを聞いてうれしく思います。,I'm happy to h_______ that.,hear
私はまだオフィスにいます。,I'm s_______ in the office.,still
あとでお電話します。,I'll call you l_______.,later
違う店で買い物をする,shop at a d_______ store,different
そのホテルは空港に近い。,The hotel is c_______ to the airport.,close
私は東京のホテルに滞在しました。,I s_______ed at a hotel in Tokyo.,stayed
私はすでにその映画を見ました。,I have a_______ seen the movie.,already
商品を贈呈する,p_______ a prize,present
工場を訪れる,visit a f_______,factory
私はその仕事に興味があります。,I am i_______ in the job.,interested
テーブルが布で覆われている。,The table is c_______ed with a cloth.,covered
本を選ぶ,c_______ a book,choose
新アパートに引っ越す,move to a new a_______,apartment
彼女は書類をファイルしている。,She's filing some p_______s.,papers
スケジュールは変更の可能性がありますのでご注意ください。,Please n_______ that the schedule may change.,note
ランチもディナーも両方とも,b_______ lunch and dinner,both
コーヒーか紅茶のどちらか,e_______ coffe or tea,either
テックスもマサヤも中国語を話せません。,N_______ Te nor Masaya can speak Chinese.,neither
そのレストランは4年前にオープンしました。,The restaurant opend four years a_______.,ago
その本はもう読み終わりましたか。,Have you f_______ed reading the book?,finished
あなたに近々お会いできることを願っています。,I h_______ to see you soon.,hope
計画の一部,p_______ of a plan,part
私は水曜日に重要な会議があります。,I have an i_______ meeting on Wednesday.,important
クーポンを郵送する,m_______ a coupon,mail
週に一度,o_______ a week,once
イベントは12月30日まで続きます。,The event will r_______ until December 30.,run
傘を持ってくる,b_______ an umbrella,bring
注文を出す,p_______ an order,place
彼女は医者になりたいと願っている。,She hopes to b_______ a doctor.,become
ご注文の準備はできていますか。,Are you r_______ to order?,ready
当店は週末は閉まっています。,Our stores are c_______ on weekends.,closed
部屋に入る,e_______ a room,enter
明日何が起きますか。,What will h_______ tomorrow?,happen
顧客サービス,c_______ service,customer
過去3年間に渡って,over the p_______ three years,past
私たちは同じ大学に通っていた。,We went to the s_______ university.,same
早くきてくださってありがとうございます。,Thanks for coming e_______.,early
会社に加わる,j_______ a company,join
会社を辞めることに決めました。,I d_______d to leave the company.,decided
彼は庭で植物に水をやっている。,He's watering p_______s in garden.,plants
加藤さんを喜んで歓迎いたします。,We are p_______ to welcome Mr. Kato.,pleased
その部屋は大きさが十分ではありません。,The room is not big e_______.,enough
映画を見に行く,go to see a f_______,film
その場合には,in that c_______,case
食事をとる,eat a m_______,meal
営業チームの誰か,s_______ from the sales team,someone
テックスはいつも仕事に遅刻している。,Tex is a_______ late for work.,always
彼女は1枚の紙を手に持っている。,She 's holding a p_______ of paper.,piece
私はいつもペンを持ち歩いています。,I always c_______ a pen with me.,carry
注文品を出荷する,s_______ an order,ship
あなたに連絡を取ろうとしていました。,I've been trying to r_______ you.,reach
彼女に会ったことは覚えています。,I r_______ seeing her.,remember
薬の分野で,in the f_______ of medicine.,field
ベジタリアン向けの料理はありますか。,Do you have any vegetarian d_______es?,dish
インテーネットに写真を投稿する,p_______ pictures on the internet,post
それはいいですね（いいように思える）,That s_______s great.,sounds
昼食休憩をとりましょう。,Let's take a lunch b_______.,break
コピー機が壊れているようです。,The copy machine s_______s to be broken.,seems
学校を建てる,b_______ a school,build
必要な部品を注文する。,order the n_______ parts,necessary
信じられません。,I can't b_______ it.,believe
我々のビジネスは成長しています。,Our business is g_______ing.,growing
でも、確かではありません。,"I'm not sure, t_______.",though
テックス者はどんな種類の会社ですか。,What k_______ of business is Tex Corporation?,kind
私は電車を逃した。,I m_______ed the train.,missed
休暇はどのように過ごしましたか。,How did you s_______ your vacation?,spend
私はとても忙しい。,I'm very b_______.,busy
時間とお金を節約する,s_______ time and money,save
地図を見つける,find a m_______,map
数名が自転車に乗っている。,Some people are r_______ing bicycles.,riding
もう少しで終わります。,I'm a_______ done.,almost
スポーツ用品を買う,buy sporting g_______,goods
すばやく仕事を終える,finish work q_______,quickly
ドアはどのくらい幅広いですか。,How w_______ is the door?,wide
彼は有名なミュージシャンです。,He is a f_______ musician.,famous
私のアパートは停電しています。,The p_______ is out in my apartment.,power
ホテルの部屋を予約する,b_______ a hotel room,book
名前が間違っています。,The name is w_______.,wrong
